Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2020-02-06,37906.0,38700.2,37400.6,38700.2,2259559,VND,1299.5999999999985,-794.1999999999971,38380.485714285714,39798.735714285714,40395.25714285715,1351.3330337467396,1690.9110469127038
2020-02-07,38267.0,38628.0,38122.6,38483.6,1611679,VND,505.40000000000146,-216.59999999999854,38050.41428571429,39602.75714285714,40213.03333333333,854.31009285963,1680.376913175529
2020-02-10,37833.8,38267.0,37617.2,37978.2,976125,VND,649.8000000000029,-144.39999999999418,37833.799999999996,39375.83571428571,40041.12380952381,573.0697339765214,1716.9135455534001
2020-02-11,38194.8,38772.4,38050.4,38700.2,1435416,VND,722.0,-505.3999999999942,37998.82857142857,39200.485714285714,39924.22380952381,638.6256120614622,1720.8427929083896
2020-02-12,38844.6,39494.5,38772.4,39061.3,1461191,VND,722.0999999999985,-216.70000000000437,38267.014285714286,38999.357142857145,39786.7,633.5733223249216,1665.4208705309247
2020-02-13,39061.3,39350.1,38772.4,39205.7,1362930,VND,577.6999999999971,-144.39999999999418,38524.88571428571,38829.17142857143,39700.74761904762,587.8583118080805,1645.5511914307106
2020-02-14,39061.3,39350.1,38989.1,39350.1,1169408,VND,361.0,-288.79999999999563,38782.75714285714,38679.614285714284,39594.166666666664,470.5994859648983,1588.6838065937839
2020-02-17,39422.3,39422.3,38989.1,39133.5,960651,VND,433.20000000000437,288.8000000000029,38844.65714285714,38612.57142857143,39480.70952380953,486.16987037155593,1528.5023355902154
2020-02-18,39277.9,40433.1,39205.7,40433.1,2328844,VND,1227.4000000000015,-1155.199999999997,39123.15714285714,38586.78571428572,39442.89047619047,738.0175649606442,1492.5284124279653
2020-02-19,40360.9,40577.5,40072.1,40216.5,900954,VND,505.40000000000146,144.40000000000146,39442.91428571428,38638.357142857145,39398.195238095235,637.2831511674208,1452.1997198994948
2020-02-20,40505.3,40721.9,40072.1,40288.7,1032622,VND,649.8000000000029,216.60000000000582,39669.84285714286,38834.33571428571,39356.938095238096,611.0144320639695,1411.5278907893285
2020-02-21,40360.9,40360.9,39494.5,39494.5,1928259,VND,866.4000000000015,866.4000000000015,39731.72857142857,38999.37142857142,39243.48095238096,558.814762732339,1289.2944580734948
2020-02-24,38339.2,38916.9,37906.0,37906.0,2991483,VND,1010.9000000000015,433.1999999999971,39546.05714285715,39035.47142857143,39068.13333333334,884.0159535836726,1201.88602593312
2020-02-25,37617.2,38989.1,37545.0,38989.1,1861711,VND,1444.0999999999985,-1371.9000000000015,39494.48571428571,39138.62142857142,38951.23809523809,907.5690982482873,1071.5788577963651
2020-02-26,38555.8,39855.5,38267.0,39711.1,4260132,VND,1588.5,-1155.2999999999956,39577.0,39210.82857142857,38934.04761904762,895.4552678200304,1055.4733040769054
2020-02-27,39711.1,40794.1,39422.3,40433.1,3871012,VND,1371.7999999999956,-722.0,39577.0,39350.07857142857,38916.857142857145,895.4552678200304,1026.1977229420263
2020-02-28,39711.1,40216.5,39422.3,39783.3,2819836,VND,794.1999999999971,-72.20000000000437,39515.114285714284,39479.014285714286,38930.60952380953,858.0822968079525,1036.2122272511233
2020-03-02,39783.3,40577.5,39566.7,40216.5,2363388,VND,1010.8000000000029,-433.1999999999971,39504.799999999996,39587.32142857143,39057.82380952381,847.6038520440865,1021.4808661471518
2020-03-03,40577.5,41155.1,40216.5,40360.9,1578801,VND,938.5999999999985,216.59999999999854,39628.57142857143,39680.15,39209.10476190476,907.0243743771543,963.7077002266644
2020-03-04,40072.1,40072.1,39638.9,40072.1,2196396,VND,433.1999999999971,0.0,39938.014285714286,39742.03571428572,39336.31904761905,499.2227940461489,886.2524745347826
2020-03-05,40072.1,40360.9,39422.3,39422.3,1714556,VND,938.5999999999985,649.7999999999956,39999.9,39747.19285714285,39425.71428571428,372.8391967949136,785.4812564827329
2020-03-06,39133.5,39205.7,38628.0,38989.1,1725903,VND,577.6999999999971,144.40000000000146,39896.75714285715,39736.87857142858,39439.47142857142,531.9612230765935,774.5935289833216
2020-03-09,36967.4,37545.0,36317.6,36317.6,6262226,VND,1227.4000000000015,649.8000000000029,39308.82857142857,39442.91428571429,39336.328571428574,1402.43708202813,1015.1080312670354
2020-03-10,36823.0,37545.0,36317.6,37328.4,2685126,VND,1227.4000000000015,-505.40000000000146,38958.12857142858,39236.62142857142,39305.385714285716,1561.8909145799985,1067.1467463688828
2020-03-11,37545.0,37906.0,35740.0,36678.6,3641254,VND,2166.0,866.4000000000015,38452.71428571428,38978.75714285714,39209.119047619046,1656.3849204704159,1206.548472138201
2020-03-12,35090.1,35595.6,34151.5,34729.1,5265761,VND,1444.0999999999985,361.0,37648.17142857143,38638.37142857142,39002.82380952381,1921.5780058016805,1553.5474289202589
2020-03-13,32707.5,36101.0,32635.3,34765.2,3860565,VND,3465.7000000000007,-2057.699999999997,36890.04285714286,38414.02857142857,38791.37142857142,1851.465825462866,1806.2050656397926
2020-03-16,34765.2,35884.4,34295.9,34368.1,2511376,VND,1588.5,397.09999999999854,36168.014285714286,38083.95714285714,38554.13333333333,1676.6110137501353,2041.0630454087716
2020-03-17,33934.9,35017.9,33573.9,35017.9,3272726,VND,1444.0,-1083.0,35600.7,37748.72857142857,38358.15238095238,1153.073192241631,2175.7925952670785
2020-03-18,35379.0,35451.2,34909.6,34945.7,2172604,VND,541.5999999999985,433.3000000000029,35404.71428571428,37356.771428571425,38096.84761904762,1127.2143620868496,2242.62132595297
2020-03-19,34368.1,34729.1,34368.1,34440.3,1714741,VND,361.0,-72.20000000000437,34992.12857142857,36975.12857142858,37821.79047619047,781.1970189270725,2322.4516942026535
2020-03-20,34801.3,34837.4,34187.6,34440.3,1707824,VND,649.8000000000029,361.0,34672.37142857142,36562.54285714286,37543.295238095234,260.20158028060354,2362.1570770116477
2020-03-23,33285.1,33862.7,32057.7,32057.7,3738299,VND,1804.9999999999964,1227.3999999999978,34290.74285714286,35969.45714285714,37189.1619047619,1018.1711674320892,2600.4485906235905
2020-03-24,32490.9,32490.9,31407.8,32129.9,2898260,VND,1083.1000000000022,361.0,33914.271428571425,35402.15714285714,36914.10952380952,1269.6490508721201,2817.269968942414
2020-03-25,33212.9,33501.7,32599.2,33212.9,2819294,VND,902.4999999999964,0.0,33749.24285714286,34958.62857142857,36639.05238095238,1275.8900669166824,2885.6956089683267
