name,high,low,open,close,avg,volume,day
CTN,2.601098901,2.531868132,2.557142857,2.575824176,2.56743956,2330,2022-01-01 to 2022-05-22
SSG,8.449450549,8.286813187,8.375824176,8.362637363,8.391373626,2258,2022-01-01 to 2022-05-22
ISH,21.0021978,20.76373626,20.82527473,20.95384615,20.85843956,2233,2022-01-01 to 2022-05-22
CNN,22.35934066,22.05054945,22.34835165,22.06153846,22.20212088,2232,2022-01-01 to 2022-05-22
CAV,59.48791209,58.8043956,59.18791209,59.22197802,55.95406593,2224,2022-01-01 to 2022-05-22
NUE,10.95934066,10.52857143,10.76153846,10.72637363,10.68601099,2222,2022-01-01 to 2022-05-22
NS2,9.486813187,9.291208791,9.363736264,9.402197802,9.375989011,2221,2022-01-01 to 2022-05-22
VIF,19.93296703,19.4978022,19.66263736,19.75164835,19.67071429,2216,2022-01-01 to 2022-05-22
DHP,12.59450549,12.51758242,12.53846154,12.56483516,12.55345055,2198,2022-01-01 to 2022-05-22
SBL,10.15164835,10.04835165,10.11208791,10.08681319,10.08653846,2159,2022-01-01 to 2022-05-22
CID,9.925274725,9.468131868,9.713186813,9.750549451,9.691626374,2111,2022-01-01 to 2022-05-22
BPC,12.5967033,12.4010989,12.50659341,12.51208791,12.51942857,2048,2022-01-01 to 2022-05-22
SFN,27.23516484,26.63956044,27.01538462,26.84285714,26.98947253,2034,2022-01-01 to 2022-05-22
PRO,8.320879121,7.91978022,8.046153846,8.169230769,8.159747253,2031,2022-01-01 to 2022-05-22
VSA,29.93736264,29.36813187,29.58681319,29.77032967,29.60514286,2009,2022-01-01 to 2022-05-22
HNF,21.75274725,21.32857143,21.41978022,21.66593407,21.53546154,1996,2022-01-01 to 2022-05-22
S74,9.595604396,9.4,9.51978022,9.450549451,9.492307692,1980,2022-01-01 to 2022-05-22
VLA,74.73406593,72.92417582,73.75604396,74.11648352,73.58415385,1974,2022-01-01 to 2022-05-22
SC5,23.96208791,22.71648352,23.25494505,23.46098901,21.94228571,1965,2022-01-01 to 2022-05-22
